"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author","Source"
"The Glass Cage(玻璃笼子)",0.1,"RoughReading","Fastfood-knowledge","How technology is changing us?",0,1,"Society and Culture","SOC","Audio","NO","NO","Nicholas Carr",
"Peak (刻意练习)",0.01,"RoughReading","Fastfood-knowledge","How to be an expert?",0,1,"Self-development","SDP","Audio","P","NA",,
"Outliers (异类)",1,"ThroughReading","Fastfood-knowledge","How to be an expert?",0,0,"Self-development","SDP","Audio","P","NA","Malcolm Gladwell",
"The Ten Faces of Innovation (决定未来的十种人)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","NA","P","Tom Kelley and Jonathan Littman",
"Made to Stick (让创意具有黏性)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",,,"Self-development","SDP","Audio",,,"Chip Heath &  Dan Heath",
"The Innovator's Dilemma (创新者的窘境)",0.1,"PartialReading","Hard-knowledge","How to innovate?",0,0,"Self-development","SDP","Audio","NA","P"," C M Christensen",
"思考线(Red Thread Thinking)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","NO","NO","Debra Kaye",
"全新思维",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","E","NA",,
"创新者",,"HaveNotRead","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","P","NO",,
"The Ways to New (颠覆式创新)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","P","NA","Jean-Marie Dru",
"Originals (离经叛道)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",,,"Self-development","SDP","Audio",,,"Adam Grant ",
"Inside the Box (微创新)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",,,"Self-development","SDP","Audio",,,"Drew Boyd and Jacob Goldenberg",
"创新者的思考",0,"HaveNotRead","Fastfood-knowledge","How to innovate?",0,0,"Self-development","SDP","Audio","NA","P","大前研一",
"Wired to Create: Unraveling the Mysteries of the Creative Mind (异想天开)",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",1,1,"Self-development","SDP","Audio",,,"Scott Barry Kaufman & Carolyn Gregoire",
"Smartcuts (出奇制胜)",0.01,"RoughReading","Fastfood-knowledge","How to succeed?",,,"Self-development","SDP","Audio",,,"Shane Snow",
"沃顿商学院最受欢迎的成功课",0.01,"RoughReading","Fastfood-knowledge","How to succeed?",,,"Self-development","SDP","Audio",,,"Adam Grant ",
"Spark",0.3,"PartialReading","Meta-Knowledge","How to use your brain?",,1,"Philosophy and Psychology","PPY",,"P","NA","John Ratey and Eric Hagerman",
"How to Create a Mind: The Secret of Human Thought Revealed",0.1,"PartialReading","Hard-knowledge","How to use your brain?",0,1,"Other","OTH",,"P","NA","Kurzweil, Ray",
"The Human Advantage(最强大脑)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Philosophy and Psychology","PPY","Audio","NO","NO","Suzana Herculano-Houzel",
"心思大开(Mind Wide Open)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Philosophy and Psychology","PPY","Audio","P","NO",,
"慢思考(Brainchains discover your brain and unleash its full potential in a hyperconnected multitasking world)",0.01,"RoughReading","Fastfood-knowledge","How to use your brain?",0,1,"Self-development","SDP","Audio","P","NA",,
"无为(Trying not to try)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Self-development","SDP","Audio","E","NA",,
"这样和世界相处",0.01,"RoughReading","Hard-knowledge","Individual psychology",0,1,"Philosophy and Psychology","PPY","Audio","E","P","Alfred Adler",
"The Smarter Screen",1,"ThroughReading","Hard-knowledge","Information age and human attention",0,1,"Philosophy and Psychology","PPY","Audio","NO","P","Shlomo Benartzi with Johnah Lehrer",
"The 5 Money Personalities(谈钱不伤感情)",0.01,"RoughReading","Fastfood-knowledge","Intimate Relationship",0,1,"Self-development","SDP","Audio","P","NA",,
"菊与刀（The Chrysanthemum and the Sword）",0.01,"RoughReading","Hard-knowledge","Japanese Culture",0,1,"Society and Culture","SOC","Audio","NO","P","Ruth Benedict",
"反直觉询问",,"HaveNotRead","Fastfood-knowledge","Marketing",0,1,"Self-development","SDP","Audio","E","P",,
"Marketing Management",0.4,"PartialReading","Meta-Knowledge","Marketing Management",0,1,"Business & Economics & Management","BEM",,"P","NA","Kotler and Keller",
